Algo,Env,Seed,X_avg,X_var,Y_avg,Y_var,Quat_rmsd
PPO_NDR,Ant_mini-v1,91993,0.4852053326925866,0.0042978616349563506,0.01541032727024795,0.01273496774675482,0.034203939415652924
PPO_NDR,Ant_mini-v1,67890,0.4917292398847603,0.002535131569988657,-0.035218260282920674,0.01105647213337274,0.03804015560114671
PPO_NDR,Ant_mini-v1,12345,0.4739380879357745,0.0045854965132482006,0.008552389340042101,0.004642574365293871,0.04106798882916102
PPO_NDR,Ant_mini-v1,82072,0.4828518152742654,0.0025009797701185357,0.017924516864777643,0.010385343960776328,0.04095849576985836
PPO_NDR,Ant_mini-v1,73906,0.4808017050017993,0.0026826330375257098,-0.020813107964360485,0.010688003556907197,0.03531749374706341
PPO_NDR,Ant_mini_sensor-v0,91993,0.44992005417380837,0.009650504162675037,-0.0009033645501814569,0.005531085496935806,0.0466026916017828
PPO_NDR,Ant_mini_sensor-v0,67890,0.479993144045927,0.004207642445372469,-0.09969012661124793,0.02352572560361972,0.05570984822363222
PPO_NDR,Ant_mini_sensor-v0,12345,0.4302810316896719,0.014720346000891386,0.008164013864652351,0.03123076327338505,0.1741860773545712
PPO_NDR,Ant_mini_sensor-v0,82072,0.46686834790681,0.008298474017292118,0.03325046597052393,0.020473520252704422,0.04598125484503819
PPO_NDR,Ant_mini_sensor-v0,73906,0.48259388468229236,0.008521782569185265,0.011793472454974873,0.019913174527865094,0.05410795302757445
PPO_NDR,Ant_mini_sensor-v1,91993,0.4852565935094684,0.0037347497425090125,0.002004704482300577,0.016836162793402474,0.04240642403061701
PPO_NDR,Ant_mini_sensor-v1,67890,0.47571261672957893,0.0034118754075136808,-0.02300376353710989,0.01081466627766363,0.043516358162420915
PPO_NDR,Ant_mini_sensor-v1,12345,0.47014278951526434,0.007466353023365114,-0.03170365787343027,0.023142858001451536,0.04631310954243719
PPO_NDR,Ant_mini_sensor-v1,82072,0.4718026607989033,0.003622392679200586,0.02238784401391892,0.029315977484496145,0.05149394904463529
PPO_NDR,Ant_mini_sensor-v1,73906,0.48375143096811324,0.002921163978001929,-0.0016098700402688956,0.006472076480340253,0.03810845058647591
PPO_NDR,Ant_mini_sensor-v2,91993,0.48398505830158184,0.00482065252735564,0.015823266034714335,0.008857744614862478,0.03662837899072137
PPO_NDR,Ant_mini_sensor-v2,67890,0.4663197399189974,0.00522026295782385,0.018666592215450705,0.0034149499880400283,0.03992532947277697
PPO_NDR,Ant_mini_sensor-v2,12345,0.4802801142449795,0.00820807599828974,-0.006787203562911947,0.009508288623938895,0.0456138997441209
PPO_NDR,Ant_mini_sensor-v2,82072,0.4879144474480536,0.0027156715129330244,-0.04812995529394229,0.01878107353626609,0.038886016759712275
PPO_NDR,Ant_mini_sensor-v2,73906,0.47164467673287996,0.004839215178500262,-0.012172641852052987,0.010826362888624111,0.03702762485314279
PPO_NDR,Ant_mini_sensor-v3,91993,0.4848526027273055,0.0030864016641472675,0.009459191142918398,0.023827029095854813,0.04165340103886989
PPO_NDR,Ant_mini_sensor-v3,67890,0.48449149074436504,0.0018113584403596083,-0.03050045367333624,0.041908433919742166,0.04050148338003792
PPO_NDR,Ant_mini_sensor-v3,12345,0.48474027978291234,0.004589012135602076,0.005926423685486228,0.012069317780380133,0.037814474248039215
PPO_NDR,Ant_mini_sensor-v3,82072,0.4809666398860334,0.002937255270329221,-0.0045979515240526635,0.004475094467319314,0.03383676306151842
PPO_NDR,Ant_mini_sensor-v3,73906,0.4924498551070351,0.002448615722441033,0.034300338956674496,0.014696629526656171,0.04254571798113381
PPO_NDR,Ant_mini_sensor-v4,91993,0.10020159660016466,0.048125065657667845,0.08581516309343655,0.04726914082050944,0.4333418405415302
PPO_NDR,Ant_mini_sensor-v4,67890,0.17428111672955,0.0323753170881755,-0.020288896764525013,0.05772703804843133,0.17877931906755923
PPO_NDR,Ant_mini_sensor-v4,12345,0.1531077222593483,0.02892596126208511,0.019920937529365076,0.03672969259193922,0.17236183096286642
PPO_NDR,Ant_mini_sensor-v4,82072,0.0019227425228755864,0.0013931799588208118,-0.00031177057250915765,0.0003147111473696641,0.04506214294303517
PPO_NDR,Ant_mini_sensor-v4,73906,0.08395479073426938,0.028397474233428966,0.05296133575060179,0.026173784067526396,0.300599776978205
PPO_NDR,Ant_mini_sensor-v5,91993,0.12227774872861838,0.05487088794762877,0.11228318364362137,0.054679969847423626,0.4468842204068189
PPO_NDR,Ant_mini_sensor-v5,67890,0.07598768811603109,0.07266433879663868,0.14883047057876245,0.06341771320756212,0.584963490248331
PPO_NDR,Ant_mini_sensor-v5,12345,0.12659855728151853,0.03077162096793087,-0.04276193067876533,0.028664986150525085,0.1893880226809331
PPO_NDR,Ant_mini_sensor-v5,82072,0.0631306690134609,0.0548173965664451,-0.12202316966160826,0.048794981760493995,0.6234686946602244
PPO_NDR,Ant_mini_sensor-v5,73906,0.11261553618936228,0.027938964987619448,-0.054113111173548216,0.033398864499635195,0.30497871794906717
PPO_NDR,Ant_mini_sensor-v6,91993,0.27731154730656804,0.0499988175595504,0.15467850412794143,0.07760703223301886,0.3301825086267195
PPO_NDR,Ant_mini_sensor-v6,67890,0.22725692171236847,0.04512500392675944,-0.04543237514890467,0.05447004572294835,0.19936799516062684
PPO_NDR,Ant_mini_sensor-v6,12345,0.2711592501455359,0.032540253891231594,0.09587540536683088,0.06107075352588118,0.1854206179794825
PPO_NDR,Ant_mini_sensor-v6,82072,0.21357903836385936,0.043091103528643884,-0.14563712897488648,0.06329541661593886,0.33247420382636
PPO_NDR,Ant_mini_sensor-v6,73906,0.27680863552085766,0.03540067408138553,-0.0390142473409687,0.0749549424381921,0.22759877296731817
